Show ID,Show,Date,Venue,Band,Band ID,Memorable Set,Notes
19,Coming Home for the Summer 2,7/14/2022,Budweiser Stage (Molson Amphitheatre),Sum 41,116,,
19,Coming Home for the Summer 2,7/14/2022,Budweiser Stage (Molson Amphitheatre),All Time Low,9,,
19,Coming Home for the Summer 2,7/14/2022,Budweiser Stage (Molson Amphitheatre),Gob,57,,
20,ERRA Tour,8/10/2022,Velvet Underground,Erra,45,,
20,ERRA Tour,8/10/2022,Velvet Underground,Alpha Wolf,10,,
20,ERRA Tour,8/10/2022,Velvet Underground,Thornhill,124,,
20,ERRA Tour,8/10/2022,Velvet Underground,Invent Animate,67,,
21,The Madness of Many Tour,11/28/2016,Opera House,Plini,97,,
21,The Madness of Many Tour,11/28/2016,Opera House,Intervals,65,,
21,The Madness of Many Tour,11/28/2016,Opera House,Animals As Leaders,11,X,"Brain Dance, The Woven Web, Nephele..."
22,Afraid of Heights Tour,2/27/2017,Scotiabank Arena (Air Canada Centre),Billy Talent,20,,
22,Afraid of Heights Tour,2/27/2017,Scotiabank Arena (Air Canada Centre),Alexisonfire,7,,
23,Summer Slaughter Tour 2013,8/8/2013,Rebel (Sound Academy),Animals As Leaders,11,,
23,Summer Slaughter Tour 2013,8/8/2013,Rebel (Sound Academy),The Dillinger Escape Plan,41,,
23,Summer Slaughter Tour 2013,8/8/2013,Rebel (Sound Academy),Periphery,95,,
23,Summer Slaughter Tour 2013,8/8/2013,Rebel (Sound Academy),Norma Jean,151,,
24,Warped Tour 2010,7/9/2010,Arrow Hall,Every Time I Die,48,,
24,Warped Tour 2010,7/9/2010,Arrow Hall,Whitechapel,134,X,"Gary bought himself a Whitechapel t-shirt, took it off and lost it not even an hour later"
24,Warped Tour 2010,7/9/2010,Arrow Hall,Suicide Silence,160,,
24,Warped Tour 2010,7/9/2010,Arrow Hall,Bring Me the Horizon,25,,
24,Warped Tour 2010,7/9/2010,Arrow Hall,The Dillinger Escape Plan,41,,
24,Warped Tour 2010,7/9/2010,Arrow Hall,Sum 41,116,,
24,Warped Tour 2010,7/9/2010,Arrow Hall,Pierce the Veil,96,,
24,Warped Tour 2010,7/9/2010,Arrow Hall,In Fear and Faith,161,,
25,Warped Tour 2013,7/5/2013,Echo Beach,"Oh, Sleeper",93,,
25,Warped Tour 2013,7/5/2013,Echo Beach,The Black Dahlia Murder,21,,
25,Warped Tour 2013,7/5/2013,Echo Beach,Architects,12,,
25,Warped Tour 2013,7/5/2013,Echo Beach,Blessthefall,22,,
25,Warped Tour 2013,7/5/2013,Echo Beach,Memphis May Fire,147,,
25,Warped Tour 2013,7/5/2013,Echo Beach,August Burns Red,15,,
25,Warped Tour 2013,7/5/2013,Echo Beach,Bring Me the Horizon,25,,
25,Warped Tour 2013,7/5/2013,Echo Beach,Chiodos,28,,
25,Warped Tour 2013,7/5/2013,Echo Beach,The Used,130,,
25,Warped Tour 2013,7/5/2013,Echo Beach,letlive.,76,,
25,Warped Tour 2013,7/5/2013,Echo Beach,Volumes,133,,
26,Phantom Anthem Tour,1/6/2018,Danforth Music Hall,August Burns Red,15,,
26,Phantom Anthem Tour,1/6/2018,Danforth Music Hall,Born of Osiris,24,,
26,Phantom Anthem Tour,1/6/2018,Danforth Music Hall,Erra,45,,
27,All Our Gods Have Abandoned Us Tour,4/6/2017,Danforth Music Hall,Architects,12,,
27,All Our Gods Have Abandoned Us Tour,4/6/2017,Danforth Music Hall,Make Them Suffer,79,,
27,All Our Gods Have Abandoned Us Tour,4/6/2017,Danforth Music Hall,Stray from the Path,114,,
28,"Underoath ""Farewell"" Tour",1/18/2013,Rebel (Sound Academy),As Cities Burn,13,,
28,"Underoath ""Farewell"" Tour",1/18/2013,Rebel (Sound Academy),mewithoutyou,82,,
28,"Underoath ""Farewell"" Tour",1/18/2013,Rebel (Sound Academy),letlive.,76,,
28,"Underoath ""Farewell"" Tour",1/18/2013,Rebel (Sound Academy),Underoath,128,X,First and last time I crowdsurfed thanks to Lukas; lost my shoe and had to deal with beer sock for the rest of the night
29,Cool Tour,7/17/2010,Rebel (Sound Academy),Cancer Bats,164,,
29,Cool Tour,7/17/2010,Rebel (Sound Academy),Architects,12,,
29,Cool Tour,7/17/2010,Rebel (Sound Academy),Blessthefall,22,,
29,Cool Tour,7/17/2010,Rebel (Sound Academy),Underoath,128,,
29,Cool Tour,7/17/2010,Rebel (Sound Academy),Between the Buried and Me,19,,
29,Cool Tour,7/17/2010,Rebel (Sound Academy),As I Lay Dying,14,,
30,AP Tour 2010,11/20/2010,Kool Haus,August Burns Red,15,,
30,AP Tour 2010,11/20/2010,Kool Haus,Bring Me the Horizon,25,,
30,AP Tour 2010,11/20/2010,Kool Haus,Emarosa,44,,
31,Toursick,4/14/2010,Rebel (Sound Academy),August Burns Red,15,,
31,Toursick,4/14/2010,Rebel (Sound Academy),A Day to Remember,35,,
31,Toursick,4/14/2010,Rebel (Sound Academy),Silverstein,111,,
31,Toursick,4/14/2010,Rebel (Sound Academy),Enter Shikari,165,,
32,Mandroid US/Canada Tour,6/4/2016,Velvet Underground,Mandroid Echostar,80,,
32,Mandroid US/Canada Tour,6/4/2016,Velvet Underground,Auras,16,,
32,Mandroid US/Canada Tour,6/4/2016,Velvet Underground,Native Construct,88,,
33,Avenged Sevenfold Album Tour,12/17/2008,Rebel (Sound Academy),Shadows Fall,166,,
33,Avenged Sevenfold Album Tour,12/17/2008,Rebel (Sound Academy),Burn Halo,167,,
33,Avenged Sevenfold Album Tour,12/17/2008,Rebel (Sound Academy),Avenged Sevenfold,17,,
34,Rockstar Uproar Tour,8/24/2010,Budweiser Stage (Molson Amphitheatre),Avenged Sevenfold,17,,
34,Rockstar Uproar Tour,8/24/2010,Budweiser Stage (Molson Amphitheatre),Disturbed,168,,
34,Rockstar Uproar Tour,8/24/2010,Budweiser Stage (Molson Amphitheatre),Stone Sour,169,,
35,Leprous/Haken Co-Headliner,10/31/2018,Opera House,Bent Knee,18,,
35,Leprous/Haken Co-Headliner,10/31/2018,Opera House,Haken,61,,
35,Leprous/Haken Co-Headliner,10/31/2018,Opera House,Leprous,75,,
36,Transcending the Coma Tour,9/20/2016,Danforth Music Hall,Between the Buried and Me,19,,
36,Transcending the Coma Tour,9/20/2016,Danforth Music Hall,Fallujah,52,,
36,Transcending the Coma Tour,9/20/2016,Danforth Music Hall,Devin Townsend,40,,
37,BTBAM North American Tour 2011,4/21/2011,Opera House,Between the Buried and Me,19,X,Crowd went full hoedown during Ants of the Sky ending
37,BTBAM North American Tour 2011,4/21/2011,Opera House,Job for a Cowboy,70,,
37,BTBAM North American Tour 2011,4/21/2011,Opera House,The Ocean,92,,
37,BTBAM North American Tour 2011,4/21/2011,Opera House,Cephalic Carnage,170,,
38,Colors 10th Anniversary,9/29/2017,Opera House,Between the Buried and Me,19,X,"Favourite album of all time, front to back!"
38,Colors 10th Anniversary,9/29/2017,Opera House,The Contortionist,30,,
38,Colors 10th Anniversary,9/29/2017,Opera House,Polyphia,98,,
38,Colors 10th Anniversary,9/29/2017,Opera House,Toothgrinder,127,,
39,Parallax II: Future Sequence Tour,2/18/2014,The Phoenix,Between the Buried and Me,19,,
39,Parallax II: Future Sequence Tour,2/18/2014,The Phoenix,Intronaut,66,,
39,Parallax II: Future Sequence Tour,2/18/2014,The Phoenix,The Kindred (Today I Caught the Plague),73,,
39,Parallax II: Future Sequence Tour,2/18/2014,The Phoenix,Deafheaven,36,,
40,Deadmen and Dragons Tour,10/25/2022,Rebel (Sound Academy),Khemmis,71,,
40,Deadmen and Dragons Tour,10/25/2022,Rebel (Sound Academy),Trivium,126,,
40,Deadmen and Dragons Tour,10/25/2022,Rebel (Sound Academy),Whitechapel,134,,
40,Deadmen and Dragons Tour,10/25/2022,Rebel (Sound Academy),Between the Buried and Me,19,,
41,Honda Civic Tour,8/17/2011,Budweiser Stage (Molson Amphitheatre),Blink-182,23,,
41,Honda Civic Tour,8/17/2011,Budweiser Stage (Molson Amphitheatre),My Chemical Romance,87,,
42,This War Is Ours Tour,11/15/2008,Rebel (Sound Academy),Chiodos,28,,
42,This War Is Ours Tour,11/15/2008,Rebel (Sound Academy),A Skylit Drive,140,,
42,This War Is Ours Tour,11/15/2008,Rebel (Sound Academy),Dead and Divine,38,,
42,This War Is Ours Tour,11/15/2008,Rebel (Sound Academy),Escape the Fate,46,,
42,This War Is Ours Tour,11/15/2008,Rebel (Sound Academy),Silverstein,111,,
43,Chon/BTBAM Co-Headliner,11/24/2019,The Phoenix,Between the Buried and Me,19,,
43,Chon/BTBAM Co-Headliner,11/24/2019,The Phoenix,CHON,29,,
43,Chon/BTBAM Co-Headliner,11/24/2019,The Phoenix,Intervals,65,,
44,No Mercy Canadian Tour,2/20/2011,The Rockpile,The Contortionist,30,X,Crowd cheered for an encore despite being 2nd last on the bill; band played an awesome improptu encore and almost entire crowd left afterwards lol...poor Suffokate
44,No Mercy Canadian Tour,2/20/2011,The Rockpile,Last Chance to Reason,74,,
45,Language/Exoplanet Tour,9/28/2022,St. Andrews Hall,Rivers of Nihil,104,,
45,Language/Exoplanet Tour,9/28/2022,St. Andrews Hall,The Contortionist,30,X,Language AND Exoplanet front to back...
46,Deftones/The Contortionist 2013,3/1/2013,Kool Haus,Deftones,37,,
46,Deftones/The Contortionist 2013,3/1/2013,Kool Haus,The Contortionist,30,,
47,The Canadian Rehabilitation Tour 2,10/26/2012,Sneaky Dee's,Your Memorial,137,,
47,The Canadian Rehabilitation Tour 2,10/26/2012,Sneaky Dee's,Intervals,65,,
47,The Canadian Rehabilitation Tour 2,10/26/2012,Sneaky Dee's,The Contortionist,30,,
47,The Canadian Rehabilitation Tour 2,10/26/2012,Sneaky Dee's,Volumes,133,,
48,Polaris North America 2015 Tour,11/6/2015,The Phoenix,The Contortionist,30,,
48,Polaris North America 2015 Tour,11/6/2015,The Phoenix,TesseracT,118,,
48,Polaris North America 2015 Tour,11/6/2015,The Phoenix,Erra,45,,
48,Polaris North America 2015 Tour,11/6/2015,The Phoenix,Skyharbor,172,,
49,Reimagined Tour,11/29/2018,The Phoenix,The Contortionist,30,,
49,Reimagined Tour,11/29/2018,The Phoenix,Intervals,65,,
50,Metalsucks Tour 2015,2/26/2015,Tattoo Rock Parlour,The Contortionist,30,X,Gabe showed up out of nowhere after the show and scared the living shit out of me
50,Metalsucks Tour 2015,2/26/2015,Tattoo Rock Parlour,Fallujah,52,,
50,Metalsucks Tour 2015,2/26/2015,Tattoo Rock Parlour,Revocation,102,,
50,Metalsucks Tour 2015,2/26/2015,Tattoo Rock Parlour,Toothgrinder,127,,
51,Neon Alien Tour,8/29/2019,Axis Club (Mod Club),Erra,45,,
51,Neon Alien Tour,8/29/2019,Axis Club (Mod Club),Crystal Lake,32,X,Craziest opening set I've ever seen; crowd was going nuts
51,Neon Alien Tour,8/29/2019,Axis Club (Mod Club),Currents,33,,
51,Neon Alien Tour,8/29/2019,Axis Club (Mod Club),Northlane,90,,
52,Trilogy 2020 Tour,3/6/2020,Hard Luck Bar,Currents,33,,
52,Trilogy 2020 Tour,3/6/2020,Hard Luck Bar,Silent Planet,110,X,Last set before covid broke out the following week...
52,Trilogy 2020 Tour,3/6/2020,Hard Luck Bar,Greyhaven,60,,
53,No Fix Tour,5/12/2018,Rapids Theatre,Dance Gavin Dance,34,X,"Amazing venue, terrifying neighbourhood, flawless set"
53,No Fix Tour,5/12/2018,Rapids Theatre,Underoath,128,,
53,No Fix Tour,5/12/2018,Rapids Theatre,Limbs,77,,
53,No Fix Tour,5/12/2018,Rapids Theatre,Veil of Maya,132,,
54,An Evening With Friends Tour,8/17/2022,The Phoenix,Dance Gavin Dance,34,,
54,An Evening With Friends Tour,8/17/2022,The Phoenix,Royal Coda,105,,
55,Deftones Spring 2022 Tour,5/22/2022,Budweiser Stage (Molson Amphitheatre),Gojira,58,X,One for the bucket list; these guys sound HUGE live
55,Deftones Spring 2022 Tour,5/22/2022,Budweiser Stage (Molson Amphitheatre),Deftones,37,,
56,Zombie Tour,8/14/2022,Danforth Music Hall,The Devil Wears Prada,39,,
